layer,table,col,data_type,nullable,pkey,fkey,description,keep,keep_in_rag,domain,synonyms,column_type,aggregation,schema,enum
silver,crm_contract_allocations,period_number,integer,1,,,Số thứ tự của kỳ thanh toán trong hợp đồng phân bổ.,True,False,crm,số kỳ;period number;installment number;contract period number;period index;kỳ thanh toán;kỳ hợp đồng;period sequence;sequence number of period;period order,dimension,count;count_distinct,crm,1 ; 12 ; 2 ; ...
silver,crm_contract_allocations,period_value,"decimal(18,2)",1,,,Giá trị tiền tệ của kỳ hợp đồng được phân bổ.,True,False,crm,giá trị kỳ;giá trị giai đoạn;giá trị hợp đồng;tiền kỳ;period value;period amount;contract period amount;allocation value;period monetary value;value for the period,metric,sum;avg;min;max,crm,
silver,crm_contract_allocations,pricebook_id,varchar,1,1.0,,Mã định danh của bảng giá được áp dụng cho hợp đồng.,True,False,crm,pricebook_id;Mã bảng giá;ID bảng giá;pricebook ID;price book identifier;price list ID;Mã định danh bảng giá;pricebook identifier;Mã giá;price list identifier,id,count_distinct,crm,
silver,crm_contract_allocations,product_category,varchar,0,,,Danh mục sản phẩm được phân bổ trong hợp đồng khách hàng.,True,False,crm,danh mục sản phẩm;loại sản phẩm;product category;product type;phân loại sản phẩm;product group;nhóm sản phẩm;product classification;phân khúc sản phẩm,dimension,count;count_distinct,crm,'VAPT (Pentest)' ; 'Tư vấn' ; 'VCS-aJiant' ; 'Redteam' ; 'VCS-TI' ; 'VCS-CyCir' ; 'MSS' ; 'VCS-AMA' ; 'VCS-CyM' ; 'Threat Hunting' ; 'VCS-NSM' ; 'VCS-KIAN' ; 'SI' ; 'Cloudrity' ; 'AntiDDos' ; 'Infrastructure Audit' ; 'Dịch vụ chuyên nghiệp khác' ; 'Khác' ; 'VCS-WSG' ; 'VCS-NAC' ; 'M-Suite' ; 'VCS-InT' ; 'VCS-ESG' ; 'CA' ; 'VCS-NDR' ; 'VCS-F2DR' ; 'Purple Team Service' ; 'Diễn tập'
silver,crm_contract_allocations,product_category_index,varchar,1,,,Mã chỉ số của danh mục sản phẩm trong hợp đồng.,True,False,crm,chỉ số danh mục sản phẩm;product category index;mã danh mục sản phẩm;product category code;category index;product group index;mã nhóm sản phẩm;product category identifier;chỉ số nhóm sản phẩm,dimension,count;count_distinct,crm,
silver,crm_contract_allocations,product_description,varchar,1,,,Mô tả chi tiết về sản phẩm trong hợp đồng.,True,False,crm,Mô tả sản phẩm;Product description;Chi tiết sản phẩm;Product details;Tên sản phẩm;Product name;Thông tin sản phẩm;Product info;Mô tả hàng hoá;Product info,dimension,count;count_distinct,crm,
silver,crm_contract_allocations,product_index,varchar,1,,,Mã hoặc chỉ số duy nhất dùng để nhận dạng sản phẩm trong hợp đồng.,True,False,crm,mã sản phẩm;product code;product index;chỉ số sản phẩm;product identifier;product SKU;mã SKU;product key;chỉ số SP,dimension,count;count_distinct,crm,
silver,crm_contract_allocations,product_total_value,"decimal(18,2)",0,,,Giá trị tiền tệ tổng cộng của sản phẩm trong một hợp đồng.,True,True,crm,giá trị tổng sản phẩm;total product value;product total value;giá trị tổng của sản phẩm;total product amount;product amount;giá trị sản phẩm;product revenue;tổng giá trị sản phẩm;product line total,metric,sum;avg;min;max,crm,
silver,crm_contract_allocations,product_type,varchar,1,,,Loại sản phẩm được phân bổ trong hợp đồng khách hàng.,True,False,crm,loại sản phẩm;product type;kiểu sản phẩm;product category;dòng sản phẩm;product line;phân loại sản phẩm;type of product;category of product;product classification,dimension,count;count_distinct,crm,'New' ; 'Upsale' ; 'N/A' ; 'Renewal' ; 'SI' ; 'Renew' ; '' ; 'Upsales' ; 'Incident' ; 'Dependent'
silver,crm_contract_allocations,sale_admin,varchar,1,,,Tên người quản lý hoặc nhân viên phụ trách bán hàng của hợp đồng.,True,False,crm,admin bán hàng;người quản lý bán hàng;người phụ trách bán hàng;sale admin;sales admin;sales administrator;contract admin;người quản lý hợp đồng,dimension,count;count_distinct,crm,
silver,crm_contract_allocations,sales_performance_value,"decimal(18,2)",0,,,Giá trị quy đổi để tính hoa hồng cho sales,True,False,sales,giá trị hiệu suất bán hàng;sales performance value;doanh số bán hàng;sales amount;giá trị bán hàng;sales KPI;giá trị KPI bán hàng;sales performance amount,metric,sum;avg;min;max,crm,
silver,crm_contract_allocations,territory_name,varchar,0,,,Tên khu vực hoặc vùng địa lý mà hợp đồng được phân bổ.,True,False,crm,khu vực;vùng bán hàng;Tên khu vực;territory;sales territory;region name;địa bàn;Tên vùng;region;area,dimension,count;count_distinct,crm,'Miền Bắc' ; 'Miền Nam' ; 'Philippines' ; 'Japan' ; 'Global Sale'
silver,crm_contract_allocations,updated_at,timestamp(3),0,,,Thời điểm bản ghi hợp đồng được cập nhật lần cuối trong hệ thống CRM.,True,False,crm,thời gian cập nhật;ngày cập nhật;ngày sửa đổi;thời điểm cập nhật;thời gian thay đổi;last updated;update timestamp;modified date;record update time;last modified,time,none,crm,
silver,crm_contracts,company_alias,varchar,0,,,Tên viết tắt hoặc biệt danh của công ty trong hợp đồng.,True,False,crm,tên viết tắt công ty;bí danh công ty;alias công ty;tên ngắn gọn công ty;company alias;company short name;company nickname;client alias;customer alias;Tên công ty trong hợp đồng,dimension,count;count_distinct,crm,'VINPEARL' ; 'VTS' ; ...
silver,crm_contracts,contract_number,varchar,1,,,Mã số hợp đồng duy nhất dùng để nhận diện một hợp đồng trong hệ thống CRM.,True,False,crm,số hợp đồng;contract number;mã hợp đồng;contract ID;số hợp đồng khách hàng;contract code;mã số hợp đồng;contract reference;contract identifier;contract no,id,count_distinct,crm,
silver,crm_contracts,contract_type,varchar,1,,,Loại hợp đồng mô tả hình thức hoặc nhóm của hợp đồng ký kết với khách hàng.,True,False,crm,loại hợp đồng;kiểu hợp đồng;dạng hợp đồng;hình thức hợp đồng;contract type;contract category;agreement type;type of contract;contract kind;category of contract,dimension,count;count_distinct,crm,'Upsales' ; 'New' ; 'Renew'
silver,crm_contracts,currency_code,varchar,0,,,Mã tiền tệ được sử dụng trong hợp đồng.,True,False,crm,mã tiền tệ;currency code;đơn vị tiền tệ;currency;mã tiền;tiền tệ hợp đồng;contract currency;đơn vị tiền;currency of contract;tiền tệ,dimension,count;count_distinct,crm,'VND' ; 'USD'
silver,crm_contracts,customer_group,varchar,1,,,Nhóm khách hàng theo mức độ ưu tiên,True,False,crm,nhóm khách hàng;customer group;phân khúc khách hàng;customer segment;loại khách hàng;customer classification;đối tượng khách hàng;customer group code;phân loại khách hàng;customer group vi,dimension,count;count_distinct,crm,'VVIP' ; 'VIP' ; 'Growth' ; 'Standard'
silver,crm_contracts,customer_name,varchar,1,,,Tên khách hàng ký hợp đồng trong hệ thống CRM.,True,False,crm,tên khách hàng;customer name;khách hàng;client name;Tên đối tác;partner name;Tên công ty;company name;Tên người mua;buyer name,dimension,count;count_distinct,crm,'VINPEARL' ; 'VTS' ; ...
silver,crm_contracts,deal_id,varchar,0,,1.0,Mã định danh duy nhất của giao dịch trong hệ thống CRM.,True,False,crm,Mã giao dịch;Deal ID;Mã hợp đồng;Contract ID;Mã đơn hàng;Deal number;Transaction ID;Mã deal;Deal code;Mã giao dịch bán hàng,id,count_distinct,crm,
silver,crm_contracts,duration,double,0,,,"Thời gian thực hiện hợp đồng, tính bằng số tháng hoặc năm.",True,False,crm,thời gian hợp đồng;độ dài hợp đồng;khoảng thời gian hợp đồng;thời hạn hợp đồng;contract duration;contract length;duration;period of contract,metric,sum;avg;min;max,crm,
silver,crm_contracts,expire_date,timestamp(3),1,,,Ngày mà hợp đồng sẽ hết hiệu lực.,True,True,crm,ngày hết hạn;ngày hết hợp đồng;ngày kết thúc hợp đồng;ngày hết hiệu lực;expiration date;contract expiry date;contract end date;expiry date;khi nào hợp đồng hết hạn;khi nào hợp đồng kết thúc,time,none,crm,
silver,crm_contracts,fac_date,timestamp(3),1,,,Ngày Review lập hoá đơn của hợp đồng.,True,True,crm,ngày hoá đơn;ngày lập hoá đơn;ngày thanh toán;ngày ghi nhận hoá đơn;invoice date;billing date;fac date;contract invoice date,time,none,crm,
silver,crm_contracts,id,varchar,0,1.0,,Mã định danh duy nhất của hợp đồng trong hệ thống CRM.,True,False,crm,contract id;contract identifier;Mã hợp đồng;ID hợp đồng;Mã định danh hợp đồng;contract key;unique contract id;Mã duy nhất;identifier,id,count_distinct,crm,
silver,crm_contracts,name,varchar,1,,,"Tên hợp đồng, mô tả ngắn gọn để nhận diện hợp đồng trong hệ thống CRM.",True,False,crm,tên hợp đồng;contract name;tiêu đề hợp đồng;contract title;nhãn hợp đồng;contract label;tên hợp đồng bán hàng;sales contract name;tên hợp đồng khách hàng;customer contract name,dimension,count;count_distinct,crm,
silver,crm_contracts,partner_id,varchar,1,,1.0,Mã định danh duy nhất của đối tác ký hợp đồng.,True,False,crm,partner_id;Mã đối tác;Partner ID;Mã đối tác trong hợp đồng;Partner identifier;ID đối tác;Partner code;Mã đối tác CRM;Partner key,id,count_distinct,crm,
silver,crm_contracts,contract_amount,"decimal(18,2)",0,,,"Giá trị của hợp đồng thực tế, thể hiện giá trị tiền thu được từ hợp đồng.",True,False,sales,doanh số;giá trị hợp đồng;contract amount;total contract amount;giá trị hợp đồng;sales amount;amount;giá trị hợp đồng,metric,sum;avg;min;max,crm,
silver,crm_contracts,sale_account_id,bigint,1,,1.0,Mã định danh tài khoản bán hàng chịu trách nhiệm ký hợp đồng.,True,False,crm,mã tài khoản bán hàng;sales account ID;ID tài khoản bán hàng;sales account identifier;ID nhân viên kinh doanh;sales rep ID;account manager ID;mã nhân viên bán hàng;sales account number;người phụ trách bán hàng,id,count_distinct,crm,
silver,crm_contracts,customer_segment_l1,varchar,1,,,"Mức phân khúc cấp 1 của hợp đồng, cho biết nhóm khách hàng hoặc thị trường chính mà hợp đồng hướng tới.",True,True,crm,phân khúc cấp 1;segment level 1;segment L1;primary segment;segment tier 1;đối tượng phân khúc;nhóm khách hàng chính;segment category;segment level one;phân khúc chính,dimension,count;count_distinct,crm,'Khách hàng ngoài' ; 'Nội bộ' ; 'International' ; 'Bộ Quốc phòng' ; 'UNKNOWN'
silver,crm_contracts,customer_segment_l2,varchar,1,,,Mức phân khúc cấp 2 mô tả nhóm con của khách hàng hoặc hợp đồng trong CRM.,True,True,crm,phân khúc cấp 2;segment_l2;segment level 2;phân khúc phụ;sub‑segment;định nghĩa phân khúc;customer segment L2;segment tier 2;phân khúc con;secondary segment,dimension,count;count_distinct,crm,'Khách hàng ngoài' ; 'Khách hàng nội bộ' ; 'Direct / Local Channel' ; 'Khách hàng SI ngoài' ; 'UNKNOWN' ; 'Viettel Global Partner'
silver,crm_contracts,customer_segment_l3,varchar,1,,,"Mức phân khúc cấp 3 của hợp đồng, thể hiện nhóm chi tiết trong phân khúc khách hàng.",True,True,crm,phân khúc cấp 3;segment level 3;segment_l3;chi tiết phân khúc;cấp độ phân khúc 3;contract segment tier 3;segment third level;phân khúc chi tiết,dimension,count;count_distinct,crm,'DNL' ; 'UNKNOWN' ; 'GOV' ; 'BFSI' ; 'Province' ; 'Energy' ; 'Unname'
silver,crm_contracts,sign_date,timestamp(3),1,,,Ngày mà hợp đồng được ký kết bởi khách hàng và công ty.,True,False,crm,ngày ký;ngày ký hợp đồng;ngày ký kết;date signed;sign date;contract signing date;contract date;when was the contract signed;khi nào hợp đồng được ký,time,none,crm,
silver,crm_contracts,signing_method,varchar,1,,,Phương thức mà hợp đồng được ký ký kết.,True,False,crm,phương thức ký; cách ký; hình thức ký; phương pháp ký; phương thức ký hợp đồng; cách ký hợp đồng; signing method; contract signing method; signature type,dimension,count;count_distinct,crm,'direct / trực tiếp' ; 'indirect / gián tiếp'
silver,crm_contracts,status,varchar,1,,,Trạng thái hiện tại của hợp đồng trong hệ thống CRM.,True,True,crm,trạng thái hợp đồng;tình trạng hợp đồng;status hợp đồng;contract status;deal status;status;current contract status;tình trạng;trạng thái;hợp đồng status,dimension,count;count_distinct,crm,'deployment completed / hoàn thành triển khai' ; 'signed / ký hợp đồng' ; 'deployment / triển khai'
silver,crm_contracts,tax_code,varchar,1,,,Mã số thuế của khách hàng hoặc công ty ký hợp đồng.,True,False,finance,Mã số thuế;Tax code;Mã thuế;Tax identification number;MST;Tax ID;Số thuế;Mã số thuế doanh nghiệp;Tax number;Mã số thuế khách hàng,dimension,count;count_distinct,crm,
silver,crm_contracts,usd_exchange_rate,"decimal(18,2)",1,,,Tỷ giá chuyển đổi sang USD của hợp đồng.,True,False,finance,tỷ giá USD;tỷ giá chuyển đổi sang USD;đơn vị USD;USD exchange rate;exchange rate to USD;US dollar rate;tỷ lệ quy đổi USD;FX rate to USD,metric,sum;avg;min;max,crm,
silver,crm_contracts,user_am_id,varchar,1,,1.0,Mã định danh của nhân viên quản lý tài khoản chịu trách nhiệm hợp đồng.,True,False,crm,ID quản lý tài khoản;Mã AM;Mã nhân viên quản lý;Account manager ID;AM ID;Sales rep ID;Mã người phụ trách hợp đồng;User AM ID;who is the account manager;who handled the contract,id,count_distinct,crm,
silver,crm_contracts,vat,"decimal(18,2)",1,,,Số tiền thuế VAT được tính trên hợp đồng.,True,False,finance,VAT;thuế VAT;giá trị gia tăng;VAT amount;tax amount;thuế giá trị gia tăng;VAT tax;phí VAT;VAT fee;tax on contract,metric,sum;avg;min;max,crm,
silver,crm_contracts,vcs_contract_amount,"decimal(18,2)",0,,,Giá trị hợp đồng thực tế mà công ty (VCS) sẽ được hưởng.,True,False,finance,doanh số VCS;VCS amount;doanh số từ VCS;amount from VCS;VCS contract amount;doanh số hợp đồng VCS;VCS earnings;doanh số VCS (triệu đồng);VCS sales amount;doanh số VCS trong hợp đồng,metric,sum;avg;min;max,crm,
silver,crm_contracts,viettel_contract_amount,"decimal(18,2)",1,,,Số tiền thu được từ các hợp đồng thông qua Viettel.,True,False,crm,doanh số từ Viettel;tiền bán qua Viettel;giá trị hợp đồng qua Viettel;Viettel amount;Viettel sales;Viettel amount,metric,sum;avg;min;max,crm,
silver,crm_deal_interested_products,created_at,timestamp(3),0,,,Thời điểm mà bản ghi quan tâm sản phẩm được tạo trong hệ thống.,True,False,crm,ngày tạo;thời gian tạo;ngày ghi;thời gian ghi;created_at;creation date;record creation time;time of creation;timestamp;ngày tạo bản ghi,time,none,crm,
silver,crm_deal_interested_products,deal_id,varchar,0,,1.0,Mã định danh duy nhất của giao dịch (deal) trong hệ thống CRM.,True,False,crm,Mã giao dịch;Deal ID;Mã deal;Deal identifier;Mã số giao dịch;Transaction ID;Mã giao dịch CRM;Deal number;Mã giao dịch bán hàng;Deal code,id,count_distinct,crm,
silver,crm_deal_interested_products,interested_product_category,varchar,0,,,Danh mục sản phẩm mà khách hàng quan tâm trong giao dịch.,True,False,crm,danh mục sản phẩm quan tâm;product category interested;interested product category;loại sản phẩm quan tâm;product interest category;category sản phẩm;product category;sản phẩm quan tâm;interest product category;category of interested product,dimension,count;count_distinct,crm,'SOC platform' ; 'CA' ; 'Redteam' ; ...
silver,crm_deal_quotation_products,base_price,"decimal(18,2)",1,,,Giá cơ bản là mức giá đơn vị của sản phẩm trong báo giá trước khi áp dụng bất kỳ chiết khấu nào.,True,False,crm,giá cơ bản;đơn giá gốc;đơn giá cơ bản;giá bán chưa giảm;list price;base price;unit price;original price;price before discount;giá mỗi đơn vị,metric,sum;avg;min;max,crm,
silver,crm_deal_quotation_products,base_total_amount,"decimal(18,2)",0,,,"Tổng giá trị cơ bản của sản phẩm trong báo giá, chưa tính giảm giá và thuế.",True,False,crm,tổng tiền cơ bản;giá trị cơ bản;total base amount;base total amount;gross amount;pre-discount total;total before discount;giá trị chưa giảm;original total;base amount,metric,sum;avg;min;max,crm,
silver,crm_deal_quotation_products,currency_code,varchar,0,,,Mã tiền tệ được sử dụng cho báo giá sản phẩm trong giao dịch.,True,False,finance,mã tiền tệ;đơn vị tiền tệ;code tiền tệ;currency code;currency;tiền tệ;ISO currency;currency identifier;đơn vị tiền tệ của báo giá,dimension,count;count_distinct,crm,'VND' ; 'USD'
silver,crm_deal_quotation_products,deal_id,varchar,0,,1.0,Mã định danh duy nhất của giao dịch (cơ hội bán hàng) trong hệ thống CRM.,True,False,crm,Mã giao dịch;Deal ID;Deal code;Mã deal;Mã cơ hội bán hàng;Deal identifier;Deal number;Mã hợp đồng;Deal reference;Deal identifier,id,count_distinct,crm,
silver,crm_deal_quotation_products,discount,double,1,,,Mức chiết khấu được áp dụng cho sản phẩm trong báo giá.,True,False,crm,chiết khấu; discount; mức giảm giá; discount amount; giá giảm; amount of discount; discount value; mức chiết khấu; giảm giá trên sản phẩm,metric,sum;avg;min;max,crm,
silver,crm_deal_quotation_products,discount_type,varchar,1,,,Loại chiết khấu được áp dụng cho sản phẩm trong báo giá.,True,False,crm,loại chiết khấu;kiểu chiết khấu;hình thức giảm giá;phương thức chiết khấu;discount type;discount category;discount method;type of discount;discount kind;loại giảm giá,dimension,count;count_distinct,crm,'amount' ; 'percent'
