question_number,question,code,source,tables,text_for_embedding,curl,timestamp,answer
8,Kế hoạch doanh thu NICE theo phân khúc khách hàng cấp 1 là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_nice_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""]}",biz,"[""finance_revenue_plan""]",Kế hoạch doanh thu NICE theo phân khúc khách hàng cấp 1 là bao nhiêu?,,,
9,Tổng kế hoạch doanh thu theo phân khúc khách hàng cấp 2 là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l2""]}",biz,"[""finance_revenue_plan""]",Tổng kế hoạch doanh thu theo phân khúc khách hàng cấp 2 là bao nhiêu?,,,
10,Tỷ lệ kế hoạch NICE trên tổng kế hoạch là bao nhiêu?,"{""measures"":[""finance_revenue_plan.plan_nice_amount_ratio""]}",biz,"[""finance_revenue_plan""]",Tỷ lệ kế hoạch NICE trên tổng kế hoạch là bao nhiêu?,,,
11,Số lượng bản ghi kế hoạch doanh thu là bao nhiêu?,"{""measures"":[""finance_revenue_plan.number_of_plan_record_count""]}",biz,"[""finance_revenue_plan""]",Số lượng bản ghi kế hoạch doanh thu là bao nhiêu?,,,
13,Kế hoạch doanh thu MUST theo tháng là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""month""}]}",biz,"[""finance_revenue_plan""]",Kế hoạch doanh thu MUST theo tháng là bao nhiêu?,,,
14,Kế hoạch doanh thu MUST theo quý là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""quarter""}]}",biz,"[""finance_revenue_plan""]",Kế hoạch doanh thu MUST theo quý là bao nhiêu?,,,
15,Kế hoạch doanh thu MUST theo năm là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}]}",biz,"[""finance_revenue_plan""]",Kế hoạch doanh thu MUST theo năm là bao nhiêu?,,,
16,So sánh kế hoạch doanh thu MUST và NICE theo tháng là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount"",""finance_revenue_plan.total_plan_nice_amount""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""month""}]}",biz,"[""finance_revenue_plan""]",So sánh kế hoạch doanh thu MUST và NICE theo tháng là bao nhiêu?,,,
17,Top phân khúc khách hàng cấp 1 theo kế hoạch doanh thu là gì?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""order"":{""finance_revenue_plan.total_plan_target_amount"":""desc""},""limit"":5}",biz,"[""finance_revenue_plan""]",Top phân khúc khách hàng cấp 1 theo kế hoạch doanh thu là gì?,,,
18,Phân khúc khách hàng nào có kế hoạch doanh thu cao nhất?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""order"":{""finance_revenue_plan.total_plan_target_amount"":""desc""},""limit"":1}",biz,"[""finance_revenue_plan""]",Phân khúc khách hàng nào có kế hoạch doanh thu cao nhất?,,,
19,Phân khúc khách hàng nào có tỷ lệ NICE plan cao nhất?,"{""measures"":[""finance_revenue_plan.plan_nice_amount_ratio""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""order"":{""finance_revenue_plan.plan_nice_amount_ratio"":""desc""},""limit"":1}",biz,"[""finance_revenue_plan""]",Phân khúc khách hàng nào có tỷ lệ NICE plan cao nhất?,,,
20,Phân bố kế hoạch MUST theo bucket là gì?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount""],""dimensions"":[""finance_revenue_plan.plan_must_bucket""]}",biz,"[""finance_revenue_plan""]",Phân bố kế hoạch MUST theo bucket là gì?,,,
21,Phân bố kế hoạch NICE theo bucket là gì?,"{""measures"":[""finance_revenue_plan.total_plan_nice_amount""],""dimensions"":[""finance_revenue_plan.plan_nice_bucket""]}",biz,"[""finance_revenue_plan""]",Phân bố kế hoạch NICE theo bucket là gì?,,,
,,,,,,,,
23,Phân khúc khách hàng nào có kế hoạch doanh thu tăng theo thời gian nhanh nhất?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}]}",biz,"[""finance_revenue_plan""]",Phân khúc khách hàng nào có kế hoạch doanh thu tăng theo thời gian nhanh nhất?,,,
24,Phân khúc khách hàng nào có giá trị kế hoạch NICE cao bất thường?,"{""measures"":[""finance_revenue_plan.total_plan_nice_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""order"":{""finance_revenue_plan.total_plan_nice_amount"":""desc""},""limit"":5}",biz,"[""finance_revenue_plan""]",Phân khúc khách hàng nào có giá trị kế hoạch NICE cao bất thường?,,,
25,Top 5 phân khúc khách hàng theo kế hoạch doanh thu là gì?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""order"":{""finance_revenue_plan.total_plan_target_amount"":""desc""},""limit"":5}",biz,"[""finance_revenue_plan""]",Top 5 phân khúc khách hàng theo kế hoạch doanh thu là gì?,,,
26,5 phân khúc khách hàng có kế hoạch doanh thu thấp nhất là gì?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""order"":{""finance_revenue_plan.total_plan_target_amount"":""asc""},""limit"":5}",biz,"[""finance_revenue_plan""]",5 phân khúc khách hàng có kế hoạch doanh thu thấp nhất là gì?,,,
27,Kế hoạch doanh thu tháng này so với tháng trước là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""month""}]}",biz,"[""finance_revenue_plan""]",Kế hoạch doanh thu tháng này so với tháng trước là bao nhiêu?,,,
28,Kế hoạch doanh thu quý này so với quý trước là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""quarter""}]}",biz,"[""finance_revenue_plan""]",Kế hoạch doanh thu quý này so với quý trước là bao nhiêu?,,,
29,Kế hoạch doanh thu năm nay so với năm trước là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}]}",biz,"[""finance_revenue_plan""]",Kế hoạch doanh thu năm nay so với năm trước là bao nhiêu?,,,
30,Kế hoạch doanh thu theo phân khúc khách hàng và thời gian là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}]}",biz,"[""finance_revenue_plan""]",Kế hoạch doanh thu theo phân khúc khách hàng và thời gian là bao nhiêu?,,,
31,Kế hoạch doanh thu MUST theo phân khúc khách hàng cấp 2 là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l2""]}",biz,"[""finance_revenue_plan""]",Kế hoạch doanh thu MUST theo phân khúc khách hàng cấp 2 là bao nhiêu?,,,
32,Kế hoạch doanh thu NICE theo phân khúc khách hàng cấp 2 là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_nice_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l2""]}",biz,"[""finance_revenue_plan""]",Kế hoạch doanh thu NICE theo phân khúc khách hàng cấp 2 là bao nhiêu?,,,
33,Phân khúc khách hàng nào có kế hoạch doanh thu thấp bất thường?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""order"":{""finance_revenue_plan.total_plan_target_amount"":""asc""},""limit"":3}",biz,"[""finance_revenue_plan""]",Phân khúc khách hàng nào có kế hoạch doanh thu thấp bất thường?,,,
34,Phân khúc khách hàng nào có kế hoạch MUST rất cao nhưng NICE thấp?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount"",""finance_revenue_plan.total_plan_nice_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""]}",biz,"[""finance_revenue_plan""]",Phân khúc khách hàng nào có kế hoạch MUST rất cao nhưng NICE thấp?,,,
35,Tổng kế hoạch doanh thu theo bucket MUST theo thời gian là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount""],""dimensions"":[""finance_revenue_plan.plan_must_bucket""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}]}",biz,"[""finance_revenue_plan""]",Tổng kế hoạch doanh thu theo bucket MUST theo thời gian là bao nhiêu?,,,
36,Tổng kế hoạch doanh thu theo bucket NICE theo thời gian là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_nice_amount""],""dimensions"":[""finance_revenue_plan.plan_nice_bucket""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}]}",biz,"[""finance_revenue_plan""]",Tổng kế hoạch doanh thu theo bucket NICE theo thời gian là bao nhiêu?,,,
37,So sánh kế hoạch MUST và NICE theo phân khúc khách hàng là gì?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount"",""finance_revenue_plan.total_plan_nice_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""]}",biz,"[""finance_revenue_plan""]",So sánh kế hoạch MUST và NICE theo phân khúc khách hàng là gì?,,,
39,So sánh kế hoạch doanh thu theo phân khúc khách hàng giữa các năm là gì?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}]}",biz,"[""finance_revenue_plan""]",So sánh kế hoạch doanh thu theo phân khúc khách hàng giữa các năm là gì?,,,
40,So sánh kế hoạch doanh thu và doanh thu thực tế theo phân khúc khách hàng là gì?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""]}",biz,"[""finance_revenue_plan""]",So sánh kế hoạch doanh thu và doanh thu thực tế theo phân khúc khách hàng là gì?,,,
41,Tỷ lệ NICE plan trên tổng kế hoạch là bao nhiêu?,"{""measures"":[""finance_revenue_plan.plan_nice_amount_ratio""]}",biz,"[""finance_revenue_plan""]",Tỷ lệ NICE plan trên tổng kế hoạch là bao nhiêu?,,,
42,Tỷ lệ NICE plan theo tháng là bao nhiêu?,"{""measures"":[""finance_revenue_plan.plan_nice_amount_ratio""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""month""}]}",biz,"[""finance_revenue_plan""]",Tỷ lệ NICE plan theo tháng là bao nhiêu?,,,
43,Tỷ lệ NICE plan theo quý là bao nhiêu?,"{""measures"":[""finance_revenue_plan.plan_nice_amount_ratio""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""quarter""}]}",biz,"[""finance_revenue_plan""]",Tỷ lệ NICE plan theo quý là bao nhiêu?,,,
44,Tỷ lệ NICE plan theo phân khúc khách hàng là bao nhiêu?,"{""measures"":[""finance_revenue_plan.plan_nice_amount_ratio""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""]}",biz,"[""finance_revenue_plan""]",Tỷ lệ NICE plan theo phân khúc khách hàng là bao nhiêu?,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
49,So sánh đóng góp kế hoạch MUST và NICE theo phân khúc khách hàng là gì?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount"",""finance_revenue_plan.total_plan_nice_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""]}",biz,"[""finance_revenue_plan""]",So sánh đóng góp kế hoạch MUST và NICE theo phân khúc khách hàng là gì?,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
55,Giá trị kế hoạch MUST trung bình theo phân khúc khách hàng là bao nhiêu?,"{""measures"":[""finance_revenue_plan.avg_plan_must_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""]}",biz,"[""finance_revenue_plan""]",Giá trị kế hoạch MUST trung bình theo phân khúc khách hàng là bao nhiêu?,,,
56,Giá trị kế hoạch NICE trung bình theo phân khúc khách hàng là bao nhiêu?,"{""measures"":[""finance_revenue_plan.avg_plan_nice_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""]}",biz,"[""finance_revenue_plan""]",Giá trị kế hoạch NICE trung bình theo phân khúc khách hàng là bao nhiêu?,,,
57,Giá trị kế hoạch MUST lớn nhất theo phân khúc khách hàng là bao nhiêu?,"{""measures"":[""finance_revenue_plan.max_plan_must_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""]}",biz,"[""finance_revenue_plan""]",Giá trị kế hoạch MUST lớn nhất theo phân khúc khách hàng là bao nhiêu?,,,
58,Giá trị kế hoạch NICE lớn nhất theo phân khúc khách hàng là bao nhiêu?,"{""measures"":[""finance_revenue_plan.max_plan_nice_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""]}",biz,"[""finance_revenue_plan""]",Giá trị kế hoạch NICE lớn nhất theo phân khúc khách hàng là bao nhiêu?,,,
59,Số lượng bản ghi kế hoạch theo phân khúc khách hàng là bao nhiêu?,"{""measures"":[""finance_revenue_plan.number_of_plan_record_count""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""]}",biz,"[""finance_revenue_plan""]",Số lượng bản ghi kế hoạch theo phân khúc khách hàng là bao nhiêu?,,,
61,Tháng nào có kế hoạch doanh thu cao nhất?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""month""}],""order"":{""finance_revenue_plan.total_plan_target_amount"":""desc""},""limit"":1}",biz,"[""finance_revenue_plan""]",Tháng nào có kế hoạch doanh thu cao nhất?,,,
62,Tháng nào có kế hoạch doanh thu thấp nhất?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""month""}],""order"":{""finance_revenue_plan.total_plan_target_amount"":""asc""},""limit"":1}",biz,"[""finance_revenue_plan""]",Tháng nào có kế hoạch doanh thu thấp nhất?,,,
63,Quý nào có kế hoạch doanh thu cao nhất?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""quarter""}],""order"":{""finance_revenue_plan.total_plan_target_amount"":""desc""},""limit"":1}",biz,"[""finance_revenue_plan""]",Quý nào có kế hoạch doanh thu cao nhất?,,,
64,Quý nào có kế hoạch doanh thu thấp nhất?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""quarter""}],""order"":{""finance_revenue_plan.total_plan_target_amount"":""asc""},""limit"":1}",biz,"[""finance_revenue_plan""]",Quý nào có kế hoạch doanh thu thấp nhất?,,,
65,Năm nào có kế hoạch doanh thu cao nhất?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}],""order"":{""finance_revenue_plan.total_plan_target_amount"":""desc""},""limit"":1}",biz,"[""finance_revenue_plan""]",Năm nào có kế hoạch doanh thu cao nhất?,,,
66,Năm nào có kế hoạch doanh thu thấp nhất?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}],""order"":{""finance_revenue_plan.total_plan_target_amount"":""asc""},""limit"":1}",biz,"[""finance_revenue_plan""]",Năm nào có kế hoạch doanh thu thấp nhất?,,,
67,Phân khúc khách hàng nào có kế hoạch doanh thu cao nhất?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""order"":{""finance_revenue_plan.total_plan_target_amount"":""desc""},""limit"":1}",biz,"[""finance_revenue_plan""]",Phân khúc khách hàng nào có kế hoạch doanh thu cao nhất?,,,
68,Phân khúc khách hàng nào có kế hoạch doanh thu thấp nhất?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""order"":{""finance_revenue_plan.total_plan_target_amount"":""asc""},""limit"":1}",biz,"[""finance_revenue_plan""]",Phân khúc khách hàng nào có kế hoạch doanh thu thấp nhất?,,,
69,Phân khúc khách hàng nào có kế hoạch MUST cao nhất?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""order"":{""finance_revenue_plan.total_plan_must_amount"":""desc""},""limit"":1}",biz,"[""finance_revenue_plan""]",Phân khúc khách hàng nào có kế hoạch MUST cao nhất?,,,
70,Phân khúc khách hàng nào có kế hoạch NICE cao nhất?,"{""measures"":[""finance_revenue_plan.total_plan_nice_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""order"":{""finance_revenue_plan.total_plan_nice_amount"":""desc""},""limit"":1}",biz,"[""finance_revenue_plan""]",Phân khúc khách hàng nào có kế hoạch NICE cao nhất?,,,
71,Phân khúc khách hàng nào có tốc độ tăng trưởng kế hoạch nhanh nhất theo năm?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}]}",biz,"[""finance_revenue_plan""]",Phân khúc khách hàng nào có tốc độ tăng trưởng kế hoạch nhanh nhất theo năm?,,,
74,Bucket kế hoạch MUST nào có tổng plan cao nhất?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount""],""dimensions"":[""finance_revenue_plan.plan_must_bucket""],""order"":{""finance_revenue_plan.total_plan_must_amount"":""desc""},""limit"":1}",biz,"[""finance_revenue_plan""]",Bucket kế hoạch MUST nào có tổng plan cao nhất?,,,
