layer,schema,table,source,description,keep
gold,cx_cso,cx_sur_surveys,hive.bi_gold.cx_sur_surveys,"[CX_CSO] Lưu trữ thông tin định danh và cấu hình của các cuộc khảo sát khách hàng. Đây là bảng master cấp cao nhất, dùng để phân loại khảo sát theo chiến dịch, thời gian, sản phẩm và vị trí trong hành trình trải nghiệm của khách hàng.",True
gold,biz,finance_actual_cost,hive.bi_gold.finance_actual_cost,"[BIZ] [FINANCE] Lưu trữ chi tiết chi phí thực tế (Actual Cost) của doanh nghiệp. Dữ liệu được hạch toán theo thời gian, quy đổi về đồng tiền cơ sở và phân loại chi tiết theo sản phẩm, đơn vị kinh doanh, khu vực địa lý để phục vụ phân tích P&L, kiểm soát ngân sách và tối ưu hóa chi phí vận hành.",True
gold,biz,finance_allocated_revenue,hive.bi_gold.finance_allocated_revenue,"[BIZ] [FINANCE] Lưu trữ doanh thu phân bổ, doanh thu ghi nhận cho sales, booked revenue, allocated revenue và doanh thu thực tế. Bảng hỗ trợ phân tích đa chiều từ góc độ tài chính (VAT, Doanh thu), góc độ kinh doanh (Kênh, AM, Presale) và góc độ thị trường (Phân đoạn khách hàng, Khu vực địa lý).",True
gold,biz,finance_cost_plan,hive.bi_gold.finance_cost_plan,"[BIZ] [FINANCE] Cost Plan - Lưu trữ kế hoạch chi phí , ngân sách dự kiến (Budget) và các chỉ tiêu kế hoạch tài chính (bao gồm cả doanh thu và chi phí dự tính). Bảng này là cơ sở để thực hiện phân tích so sánh Thực tế với Kế hoạch, phục vụ dự báo dòng tiền và kiểm soát hạn mức chi tiêu của doanh nghiệp.",True
gold,biz,finance_daily_business_metrics,hive.bi_gold.finance_daily_business_metrics,"[BIZ] [FINANCE] Metrics - Bảng tổng hợp các Metrics tài chính theo ngày, bao gồm doanh thu bán hàng, tiền thu từ khách hàng, chi phí thực tế, kế hoạch doanh thu và lợi nhuận. Dữ liệu được tổng hợp theo sản phẩm, đơn vị kinh doanh và khu vực.",True
gold,biz,finance_metrics,hive.bi_gold.finance_metrics,"[BIZ] [FINANCE] Bảng này lưu trữ các chỉ số tài chính quan trọng của doanh nghiệp, bao gồm chi phí, doanh thu và lợi nhuận được phân theo danh mục sản phẩm và thời gian báo cáo. Thông tin này thường được sử dụng trong các báo cáo phân tích hiệu suất tài chính, đánh giá lợi nhuận gộp và hỗ trợ quyết định chiến lược kinh doanh.",True
gold,biz,finance_product_revenue_plan,hive.bi_gold.finance_product_revenue_plan,"[BIZ] [FINANCE] Lưu trữ kế hoạch doanh thu mục tiêu (MUST/SHOULD/NICE) phân bổ theo từng sản phẩm/dịch vụ và nhóm sản phẩm/dịch vụ. Bảng thiết lập các hạn mức doanh thu kế hoạch Must, doanh thu kế hoạch SHOULD và doanh thu kế hoạch Nice, làm cơ sở để đánh giá hiệu quả kinh doanh, dự báo tăng trưởng và so sánh thực tế thực hiện (Actual vs Plan) theo từng dòng sản phẩm/dịch vụ.",True
gold,biz,finance_production_cost_allocations,hive.bi_gold.finance_production_cost_allocations,"[BIZ] [FINANCE] Lưu trữ dữ liệu chi phí sản xuất và vận hành sau khi đã được phân bổ (Allocated) theo các tiêu chí quản trị. Bảng cung cấp cái nhìn chi tiết về cách chi phí chung được chia cho từng thị trường và khu vực địa lý, hỗ trợ đánh giá hiệu quả hoạt động và lợi nhuận thực tế của từng đơn vị kinh doanh.",True
gold,biz,finance_revenue_plan,hive.bi_gold.finance_revenue_plan,"[BIZ] [FINANCE] Bảng chứa dữ liệu kế hoạch doanh thu ở mức công ty, được tập đoàn Viettel giao xuống VCS. Kế hoạch doanh thu có 3 mức là MUST, NICE và Giá trị chỉ tiêu doanh thu từ tập đoàn.",True
gold,biz,finance_fact_ratios,hive.bi_silver.finance_fact_ratios,"Lưu trữ các chỉ số tài chính (Financial Ratios) đã được tính toán theo từng kỳ báo cáo. Bảng này cung cấp các thông số sức khỏe doanh nghiệp về khả năng thanh toán, hiệu quả hoạt động, cấu trúc vốn và khả năng sinh lời, phục vụ cho việc theo dõi xu hướng (Trend Analysis) và so sánh với trung bình ngành.",True
gold,hr,hr_master_report,hive.bi_gold.hr_master_report,"Bảng này lưu trữ thông tin tổng hợp về nhân viên, bao gồm các dữ liệu cá nhân, vị trí công việc, mức độ hiệu suất, tiềm năng và trạng thái việc làm. Nó được sử dụng để phân tích nguồn nhân lực, lập báo cáo quản trị nhân sự và đánh giá tiềm năng phát triển của nhân viên trong tổ chức.",True
silver,crm,company_contacts,hive.bi_silver.company_contacts,"Bảng này lưu trữ thông tin liên hệ của các công ty, bao gồm tên công ty, tên hiển thị, họ và tên, địa chỉ email và nguồn hệ thống gốc. Nó hỗ trợ việc quản lý quan hệ khách hàng và cho phép thực hiện các báo cáo phân tích danh sách liên hệ, nguồn dữ liệu và thời gian cập nhật.",True
silver,crm,crm_contract_allocations,hive.bi_silver.crm_contract_allocations,"Bảng crm_contract_allocations lưu trữ thông tin chi tiết về việc phân bổ hợp đồng cho khách hàng, bao gồm dữ liệu về sản phẩm, giá trị giao dịch, giai đoạn bán hàng và các chỉ số tài chính liên quan. Bảng này thường được sử dụng trong các báo cáo phân tích số tiền dự kiến thu nhận được từ khách hàng, hiệu suất bán hàng và quản lý vòng đời hợp đồng.",True
silver,crm,crm_contracts,hive.bi_silver.crm_contracts,"Bảng **crm_contracts** lưu trữ thông tin chi tiết về các hợp đồng khách hàng, bao gồm dữ liệu về đối tác, loại hợp đồng, thời gian ký kết, giá trị và trạng thái thực hiện. Bảng này được sử dụng để phân tích tình hình hợp đồng đã ký, đánh giá hiệu suất bán hàng theo phân khúc, khu vực và thời gian, giá trị hợp đồng.",True
silver,crm,crm_deal_interested_products,hive.bi_silver.crm_deal_interested_products,"Bảng này ghi nhận các danh mục sản phẩm mà khách hàng tiềm năng quan tâm trong mỗi giao dịch, hỗ trợ bộ phận kinh doanh nắm bắt nhu cầu và xu hướng mua sắm. Dữ liệu chủ yếu là thông tin về sản phẩm quan tâm kèm thời gian ghi nhận. Thường được dùng để phân tích xu hướng quan tâm, lập báo cáo dự báo nhu cầu và tối ưu chiến lược bán hàng.",True
silver,crm,crm_deal_quotation_products,hive.bi_silver.crm_deal_quotation_products,"Bảng này lưu trữ chi tiết các sản phẩm được báo giá trong các giao dịch CRM, bao gồm thông tin về giá, số lượng, chiết khấu và các yếu tố tài chính liên quan. Dữ liệu này thường được dùng để phân tích hiệu suất bán hàng, theo dõi trạng thái báo giá trong các báo cáo kinh doanh và dự báo.",True
silver,crm,crm_deal_quotations,hive.bi_silver.crm_deal_quotations,"Bảng này lưu trữ các báo giá liên quan đến các giao dịch trong hệ thống CRM, bao gồm thông tin về tiền tệ, trạng thái và các chiết khấu áp dụng. Nó được sử dụng để phân tích hiệu suất bán hàng, theo dõi tỷ lệ chuyển đổi từ báo giá sang hợp đồng và lập báo cáo doanh số theo thời gian và khu vực.",True
silver,crm,crm_deal_reasons,hive.bi_silver.crm_deal_reasons,"Bảng crm_deal_reasons lưu trữ các lý do liên quan đến giao dịch trong hệ thống CRM, bao gồm nguyên nhân dẫn đến thành công hoặc thất bại của các giao dịch. Bảng này được sử dụng để phân tích hiệu suất bán hàng, đánh giá chiến lược kinh doanh và xác định các yếu tố ảnh hưởng đến kết quả giao dịch.",True
silver,crm,crm_deals,hive.bi_silver.crm_deals,"Bảng crm_deals lưu trữ thông tin chi tiết về các giao dịch trong hệ thống CRM, bao gồm dữ liệu về khách hàng, công ty, giai đoạn bán hàng, giá trị giao dịch, ngân sách dự kiến cho giao dịch, xác suất thành công và các chỉ số liên quan đến quản lý cơ hội bán hàng. Bảng này được sử dụng để phân tích hiệu suất bán hàng, doanh số bán hàng, theo dõi vòng đời giao dịch, đánh giá chiến lược kinh doanh, và hỗ trợ quản lý dự án/nhân sự bán hàng.",True
silver,crm,crm_deals_allocation,hive.bi_silver.crm_deals_allocation,"Bảng **crm_deals_allocation** lưu trữ thông tin về việc phân bổ và giá trị dự báo của các giao dịch kinh doanh trong hệ thống CRM, bao gồm các chỉ số tài chính, giai đoạn giao dịch, cùng các thuộc tính liên quan đến khách hàng, sản phẩm và khu vực. Dữ liệu này thường được dùng để phân tích hiệu suất bán hàng, dự báo doanh thu dự kiến và đánh giá hiệu quả phân bổ nguồn lực theo phân khúc, khu vực và loại sản phẩm.",True
silver,crm,crm_partners,hive.bi_silver.crm_partners,"Bảng crm_partners lưu trữ thông tin các đối tác kinh doanh, bao gồm dữ liệu nhận dạng, liên hệ, địa chỉ và trạng thái hợp đồng. Dữ liệu phục vụ quản lý quan hệ đối tác, phân tích hiệu suất và hỗ trợ chiến lược hợp tác.",True
silver,crm,crm_expected_revenue,hive.bi_silver.crm_expected_revenue,"Bảng crm_expected_revenue lưu trữ thông tin dự báo và thực tế thanh toán liên quan đến các hợp đồng, khách hàng và sản phẩm, bao gồm số tiền, ngày đến hạn, tiền tệ và các thuộc tính phân khúc khách hàng. Bảng này được sử dụng để phân tích dòng tiền, dự báo doanh thu dự kiến và tạo các báo cáo hiệu suất bán hàng theo khu vực, sản phẩm và giai đoạn giao dịch.",True
silver,crm,crm_pricebook,hive.bi_silver.crm_pricebook,"Bảng crm_pricebook lưu trữ thông tin bảng giá sản phẩm, gồm giá bán, chiết khấu, đơn vị tiền tệ, trạng thái và loại sản phẩm. Dữ liệu hỗ trợ quản lý chính sách giá, phân tích lợi nhuận, báo cáo định giá và quyết định chiến lược giá.",True
silver,crm,crm_sales_accounts,hive.bi_silver.crm_sales_accounts,Bảng crm_sales_accounts lưu trữ thông tin chi tiết về các tài khoản khách hàng doanh nghiệp (company) trong hệ thống CRM.,True
silver,cx_cso,cx_cso_ticket_tags,hive.bi_silver.cx_cso_ticket_tags,"Bảng cx_cso_ticket_tags lưu trữ các nhãn được gắn cho ticket hỗ trợ khách hàng, giúp phân loại và theo dõi nội dung yêu cầu. Dữ liệu phục vụ báo cáo phân tích xu hướng vấn đề, hiệu suất xử lý ticket và đánh giá mức độ phổ biến của các chủ đề.",True
silver,cx_cso,cx_cso_support_tickets,hive.bi_silver.cx_cso_support_tickets,"Lưu trữ vòng đời của một yêu cầu hỗ trợ (ticket) từ lúc tiếp nhận đến khi đóng, phục vụ phân tích hiệu suất vận hành (SLA) và trải nghiệm khách hàng (CX). Keywords: 'ticket; support ticket; customer support; helpdesk; incident; issue; request; SLA; overdue; violation; response time; resolution time; TTR; backlog; open ticket; closed ticket; resolved ticket; ticket status; priority; severity; urgency; agent; L1; L2; L3; L4; assigned; unassigned; customer group; segment; channel; email; chat; hotline; issue category; issue type; root cause; CSAT; satisfaction; sentiment; positive; negative; duplicate; reopened'",True
silver,cx_cso,cx_sur_question_answer_choices,hive.bi_silver.cx_sur_question_answer_choices,"Lưu trữ danh sách chuẩn hóa các câu hỏi khảo sát và các phương án trả lời tương ứng. Bảng này dùng để tham chiếu (Lookup) các thông tin định tính như nội dung câu hỏi, loại hình khảo sát, vị trí trong hành trình khách hàng và các nhóm KPI liên quan.",True
silver,cx_cso,cx_sur_question_response,hive.bi_silver.cx_sur_question_response,"Bảng này lưu trữ các câu trả lời chi tiết của khách hàng trong các khảo sát, bao gồm nội dung trả lời, điểm số, thẻ, và thông tin liên quan đến hành trình, nhóm KPI và danh mục sản phẩm. Dữ liệu được sử dụng để phân tích mức độ hài lòng, đánh giá hiệu suất sản phẩm và hỗ trợ báo cáo KPI theo các phân khúc và điểm chạm khách hàng.",True
silver,cx_cso,cx_sur_surveys,hive.bi_silver.cx_sur_surveys,"Lưu trữ thông tin định danh và cấu hình của các cuộc khảo sát khách hàng. Đây là bảng master cấp cao nhất, dùng để phân loại khảo sát theo chiến dịch, thời gian, sản phẩm và vị trí trong hành trình trải nghiệm của khách hàng.",True
silver,biz,finance_actual_cost,hive.bi_silver.finance_actual_cost,"[BIZ] [FINANCE] Lưu trữ chi tiết chi phí thực tế (Actual Cost) của doanh nghiệp. Dữ liệu được hạch toán theo thời gian, quy đổi về đồng tiền cơ sở và phân loại chi tiết theo sản phẩm, đơn vị kinh doanh, khu vực địa lý để phục vụ phân tích P&L, kiểm soát ngân sách và tối ưu hóa chi phí vận hành.",True
silver,biz,finance_allocated_revenue,hive.bi_silver.finance_allocated_revenue,"[BIZ] [FINANCE] Lưu trữ doanh thu phân bổ, doanh thu ghi nhận cho sales, booked revenue, allocated revenue và doanh thu thực tế. Bảng hỗ trợ phân tích đa chiều từ góc độ tài chính (VAT, Doanh thu), góc độ kinh doanh (Kênh, AM, Presale) và góc độ thị trường (Phân đoạn khách hàng, Khu vực địa lý).",True
silver,biz,finance_cost_plan,hive.bi_silver.finance_cost_plan,"[BIZ] [FINANCE] Lưu trữ ngân sách dự kiến (Budget) và các chỉ tiêu kế hoạch tài chính (bao gồm cả doanh thu và chi phí dự tính). Bảng này là cơ sở để thực hiện phân tích so sánh Thực tế với Kế hoạch (Actual vs Plan), phục vụ dự báo dòng tiền và kiểm soát hạn mức chi tiêu của doanh nghiệp.",True
silver,biz,finance_product_revenue_plan,hive.bi_silver.finance_product_revenue_plan,"[BIZ] [FINANCE] Lưu trữ kế hoạch doanh thu mục tiêu (MUST/SHOULD/NICE) phân bổ theo từng sản phẩm/dịch vụ và nhóm sản phẩm/dịch vụ. Bảng thiết lập các hạn mức doanh thu kế hoạch Must, doanh thu kế hoạch SHOULD và doanh thu kế hoạch Nice, làm cơ sở để đánh giá hiệu quả kinh doanh, dự báo tăng trưởng và so sánh thực tế thực hiện (Actual vs Plan) theo từng dòng sản phẩm/dịch vụ.",True
silver,biz,finance_revenue_plan,hive.bi_silver.finance_revenue_plan,"[BIZ] [FINANCE] Bảng chứa dữ liệu kế hoạch doanh thu ở mức công ty, được tập đoàn Viettel giao xuống VCS. Kế hoạch doanh thu có 3 mức là MUST, NICE và Giá trị chỉ tiêu doanh thu từ tập đoàn.",True
silver,biz,finance_fact_ratios,hive.bi_silver.finance_fact_ratios,"[BIZ] [FINANCE] Lưu trữ các chỉ số tài chính (Financial Ratios) đã được tính toán theo từng kỳ báo cáo. Bảng này cung cấp các thông số sức khỏe doanh nghiệp về khả năng thanh toán, hiệu quả hoạt động, cấu trúc vốn và khả năng sinh lời, phục vụ cho việc theo dõi xu hướng (Trend Analysis) và so sánh với trung bình ngành.",True
silver,biz,finance_contract_collected_invoices,hive.bi_silver.finance_contract_collected_invoices,"Bảng công nợ phải thu (AR) ở mức invoice × contract × customer. Dùng để theo dõi số tiền phải thu, đã thu và dư nợ còn lại của từng hóa đơn. Hỗ trợ phân tích trạng thái thanh toán, overdue và aging theo khách hàng / AM / kênh bán. Các metric chính gồm: tổng công nợ (total_initial_receivable_amount), đã thu (total_received_amount), dư nợ (total_remaining_balance_amount). Phù hợp cho các bài toán: tổng công nợ, hiệu quả thu hồi, overdue, top khách hàng nợ lớn. Keywords: [""công nợ"", ""receivable"", ""AR"", ""đã thu"", ""collected"", ""dư nợ"", ""outstanding"", ""overdue"", ""aging""]",True
silver,hr,hr_employee_onboard,hive.bi_silver.hr_employee_onboard,"Bảng **hr_employee_onboard** lưu trữ thông tin chi tiết về quá trình tuyển dụng, hồ sơ cá nhân và các chỉ số hiệu suất, tiềm năng, cũng như trạng thái công việc của nhân viên trong công ty. Dữ liệu này thường được sử dụng trong các báo cáo phân tích nguồn nhân lực, dự báo nhu cầu tuyển dụng, đánh giá năng lực và quản lý rủi ro nhân sự.",True
silver,hr,hr_employee_resigned,hive.bi_silver.hr_employee_resigned,"Bảng này lưu trữ thông tin chi tiết về các nhân viên đã nghỉ việc, bao gồm dữ liệu cá nhân, vị trí công việc, hiệu suất làm việc và lý do nghỉ việc. Dữ liệu được sử dụng để phân tích tỷ lệ nghỉ việc, đánh giá nguyên nhân nghỉ việc và hỗ trợ các báo cáo quản trị nguồn nhân lực cũng như lập kế hoạch duy trì nhân tài.",True
silver,hr,hr_employee_headcount,hive.bi_silver.hr_employee_headcount,"Lưu trữ dữ liệu về định biên nhân sự (Headcount) bao gồm cả chỉ tiêu kế hoạch và số lượng thực tế hiện có. Bảng hỗ trợ quản lý tình trạng lấp đầy các vị trí (Position Filling), phân loại nhân sự theo các nhóm chiến lược (AI, R&D, Kinh doanh quốc tế) và cấu trúc tổ chức, phục vụ lập báo cáo ngân sách nhân sự và kế hoạch tuyển dụng.",True
silver,jira,jira_msn,hive.bi_silver.jira_msn,"Lưu trữ dữ liệu chi tiết về các phiếu công việc (Issues/Tasks/Nhiệm vụ) từ hệ thống quản lý dự án Jira. Bảng theo dõi toàn bộ vòng đời của một nhiệm vụ từ khi khởi tạo, phân công người thực hiện, đến khi thay đổi trạng thái và hoàn thành, phục vụ phân tích năng suất nhân sự và tiến độ dự án.",True
silver,jira,jira_task_operation,hive.bi_silver.jira_task_operation,"Lưu trữ dữ liệu vận hành chi tiết các nhiệm vụ (Tasks/Issues) trên hệ thống Jira. Bảng tập trung vào việc quản lý quy trình giao việc, mức độ ưu tiên và thời hạn hoàn thành, phục vụ mục tiêu phân tích tải công việc (Workload), đo lường KPI hoàn thành đúng hạn và tối ưu hóa nguồn lực nhân sự trong các đơn vị vận hành.",True
silver,noc,noc_entities,hive.bi_silver.noc_entities,"Lưu trữ thông tin định danh và mối liên kết giữa các thực thể hạ tầng mạng (Hosts) với các thực thể kinh doanh (Khách hàng, Dự án). Bảng này là cơ sở để phân loại và báo cáo tài nguyên hạ tầng theo mục đích sử dụng.",True
silver,noc,noc_metrics,hive.bi_silver.noc_metrics,"Lưu trữ các chỉ số đo lường hiệu suất (Performance Metrics) của hệ thống mạng và máy chủ theo thời gian thực. Dữ liệu hỗ trợ giám sát sức khỏe hạ tầng, phân tích xu hướng tải (Load Trend) và đảm bảo các chỉ tiêu KPI về vận hành kỹ thuật.",True
gold,biz,finance_contract_collected_invoices,hive.bi_silver.finance_contract_collected_invoices,"Bảng công nợ phải thu (AR) ở mức invoice × contract × customer. Dùng để theo dõi số tiền phải thu, đã thu và dư nợ còn lại của từng hóa đơn. Hỗ trợ phân tích trạng thái thanh toán, overdue và aging theo khách hàng / AM / kênh bán. Các metric chính gồm: tổng công nợ (total_initial_receivable_amount), đã thu (total_received_amount), dư nợ (total_remaining_balance_amount). Phù hợp cho các bài toán: tổng công nợ, hiệu quả thu hồi, overdue, top khách hàng nợ lớn. Keywords: [""công nợ"", ""receivable"", ""AR"", ""đã thu"", ""collected"", ""dư nợ"", ""outstanding"", ""overdue"", ""aging""]",True
silver,cx_cso,cx_cso_customer_ticket_monthly,hive.bi_silver.cx_cso_customer_ticket_monthly,"[CX_CSO] Bảng tổng hợp số lượng ticket theo khách hàng và sản phẩm theo tháng, phục vụ phân tích hành vi như tần suất ticket và tỷ lệ tái diễn.",True
gold,crm,crm_committed_revenue,hive.bi_gold.crm_committed_revenue,"[CRM] Lưu trữ doanh thu phân bổ, doanh thu ghi nhận cho sales, booked revenue, allocated revenue và doanh thu thực tế. Bảng hỗ trợ phân tích đa chiều từ góc độ tài chính (VAT, Doanh thu), góc độ kinh doanh (Kênh, AM, Presale) và góc độ thị trường (Phân đoạn khách hàng, Khu vực địa lý).",True
silver,crm,crm_committed_revenue,hive.bi_silver.crm_committed_revenue,"[CRM] Lưu trữ doanh thu phân bổ, doanh thu ghi nhận cho sales, booked revenue, allocated revenue và doanh thu thực tế. Bảng hỗ trợ phân tích đa chiều từ góc độ tài chính (VAT, Doanh thu), góc độ kinh doanh (Kênh, AM, Presale) và góc độ thị trường (Phân đoạn khách hàng, Khu vực địa lý).",True
